ENSMUST00000070533.4	Xkr4
ENSMUST00000208660.1	Rp1
ENSMUST00000027032.5	Rp1
ENSMUST00000027035.9	Sox17
ENSMUST00000195555.1	Sox17
ENSMUST00000192650.5	Sox17
ENSMUST00000116652.7	Sox17
ENSMUST00000191647.1	Sox17
ENSMUST00000191939.1	Sox17
ENSMUST00000192913.1	Sox17
ENSMUST00000130201.7	Mrpl15
ENSMUST00000156816.6	Mrpl15
ENSMUST00000045689.13	Mrpl15
ENSMUST00000146665.2	Mrpl15
ENSMUST00000134384.7	Lypla1
ENSMUST00000027036.10	Lypla1
ENSMUST00000150971.7	Lypla1
ENSMUST00000119612.8	Lypla1
ENSMUST00000137887.7	Lypla1
ENSMUST00000115529.7	Lypla1
ENSMUST00000131119.1	Lypla1
ENSMUST00000155020.1	Gm37988
ENSMUST00000081551.13	Tcea1
ENSMUST00000165720.2	Tcea1
ENSMUST00000002533.14	Rgs20
ENSMUST00000118000.7	Rgs20
ENSMUST00000119256.7	Rgs20
ENSMUST00000170566.1	Rgs20
ENSMUST00000147158.1	Rgs20
ENSMUST00000192847.5	Atp6v1h
ENSMUST00000044369.12	Atp6v1h
ENSMUST00000194676.5	Atp6v1h
ENSMUST00000192029.5	Atp6v1h
ENSMUST00000192698.2	Atp6v1h
ENSMUST00000160777.7	Oprk1
ENSMUST00000239100.1	Oprk1
ENSMUST00000027038.10	Oprk1
ENSMUST00000160339.1	Oprk1
ENSMUST00000044180.4	Npbwr1
ENSMUST00000159906.7	Rb1cc1
ENSMUST00000160871.7	Rb1cc1
ENSMUST00000027040.12	Rb1cc1
ENSMUST00000160062.7	Rb1cc1
ENSMUST00000162795.7	Rb1cc1
ENSMUST00000161327.7	Rb1cc1
ENSMUST00000162257.7	Rb1cc1
ENSMUST00000159530.1	Rb1cc1
ENSMUST00000133144.3	Alkal1
ENSMUST00000140079.7	St18
ENSMUST00000131494.7	St18
ENSMUST00000043578.12	St18
ENSMUST00000139756.7	St18
ENSMUST00000131467.7	St18
ENSMUST00000150761.7	St18
ENSMUST00000151281.7	St18
ENSMUST00000139838.7	St18
ENSMUST00000163727.3	St18
ENSMUST00000132207.1	St18
ENSMUST00000130338.1	St18
ENSMUST00000061280.16	Pcmtd1
ENSMUST00000182114.7	Pcmtd1
ENSMUST00000182675.7	Pcmtd1
ENSMUST00000132064.7	Sntg1
ENSMUST00000191683.5	Sntg1
ENSMUST00000140295.7	Sntg1
ENSMUST00000140302.7	Sntg1
ENSMUST00000115488.2	Sntg1
ENSMUST00000144593.7	Sntg1
ENSMUST00000072079.8	Rrs1
ENSMUST00000144177.7	Adhfe1
ENSMUST00000027044.14	Adhfe1
ENSMUST00000130927.7	Adhfe1
ENSMUST00000186467.1	Adhfe1
ENSMUST00000190654.1	Adhfe1
ENSMUST00000088666.3	Vxn
ENSMUST00000088658.10	Mybl1
ENSMUST00000115468.8	Mybl1
ENSMUST00000188212.1	Mybl1
ENSMUST00000057438.6	Vcpip1
ENSMUST00000166384.7	Sgk3
ENSMUST00000188782.6	Sgk3
ENSMUST00000168907.7	Sgk3
ENSMUST00000188738.6	Sgk3
ENSMUST00000188298.6	Sgk3
ENSMUST00000171265.7	Sgk3
ENSMUST00000097826.5	Sgk3
ENSMUST00000052843.11	Mcmdc2
ENSMUST00000171802.7	Mcmdc2
ENSMUST00000125294.8	Mcmdc2
ENSMUST00000140948.8	Mcmdc2
ENSMUST00000118098.2	Mcmdc2
ENSMUST00000183059.1	Mcmdc2
ENSMUST00000185184.1	Tcf24
ENSMUST00000097824.2	Tcf24
ENSMUST00000147000.8	Ppp1r42
ENSMUST00000124874.7	Ppp1r42
ENSMUST00000027049.9	Ppp1r42
ENSMUST00000130102.7	Ppp1r42
ENSMUST00000176398.7	Ppp1r42
ENSMUST00000027050.9	Cops5
ENSMUST00000190155.6	Cops5
ENSMUST00000186528.6	Cops5
ENSMUST00000188619.1	Cops5
ENSMUST00000191012.6	Cspp1
ENSMUST00000071087.11	Cspp1
ENSMUST00000117415.7	Cspp1
ENSMUST00000118263.7	Cspp1
ENSMUST00000122156.7	Cspp1
ENSMUST00000119714.7	Cspp1
ENSMUST00000155974.7	Cspp1
ENSMUST00000186294.6	Cspp1
ENSMUST00000149214.2	Cspp1
ENSMUST00000188449.6	Cspp1
ENSMUST00000187226.6	Cspp1
ENSMUST00000088615.10	Arfgef1
ENSMUST00000131556.1	Arfgef1
ENSMUST00000153695.7	Cpa6
ENSMUST00000035577.6	Cpa6
ENSMUST00000027056.11	Prex2
ENSMUST00000188189.6	Prex2
ENSMUST00000187745.6	Prex2
ENSMUST00000189385.6	Prex2
ENSMUST00000188154.1	Prex2
ENSMUST00000171690.8	A830018L16Rik
ENSMUST00000048613.13	A830018L16Rik
ENSMUST00000141512.7	A830018L16Rik
ENSMUST00000135014.7	A830018L16Rik
ENSMUST00000137824.7	A830018L16Rik
ENSMUST00000179089.7	A830018L16Rik
ENSMUST00000141339.2	A830018L16Rik
ENSMUST00000177608.7	Sulf1
ENSMUST00000180062.7	Sulf1
ENSMUST00000186051.6	Sulf1
ENSMUST00000088585.9	Sulf1
ENSMUST00000189541.6	Sulf1
ENSMUST00000186405.6	Sulf1
ENSMUST00000185780.1	Sulf1
ENSMUST00000188454.6	Slco5a1
ENSMUST00000115403.8	Slco5a1
ENSMUST00000115402.7	Slco5a1
ENSMUST00000136197.7	Slco5a1
ENSMUST00000146763.7	Slco5a1
ENSMUST00000147606.2	Slco5a1
ENSMUST00000047577.6	Prdm14
ENSMUST00000081713.10	Ncoa2
ENSMUST00000068304.12	Ncoa2
ENSMUST00000006037.12	Ncoa2
ENSMUST00000145280.1	Ncoa2
ENSMUST00000027068.10	Tram1
ENSMUST00000188377.1	Tram1
ENSMUST00000027071.6	Lactb2
ENSMUST00000088542.3	Xkr9
ENSMUST00000027066.12	Eya1
ENSMUST00000168081.8	Eya1
ENSMUST00000080664.13	Eya1
ENSMUST00000190337.6	Eya1
ENSMUST00000189526.1	Eya1
ENSMUST00000188857.6	Eya1
ENSMUST00000185453.6	Eya1
ENSMUST00000187790.1	Eya1
ENSMUST00000027062.6	Msc
ENSMUST00000190719.1	Msc
ENSMUST00000041447.4	Trpa1
ENSMUST00000235071.1	Trpa1
ENSMUST00000175681.2	Kcnb2
ENSMUST00000170146.2	Kcnb2
ENSMUST00000188371.6	Terf1
ENSMUST00000027057.7	Terf1
ENSMUST00000040695.4	Sbspon
ENSMUST00000115367.7	4930444P10Rik
ENSMUST00000145070.7	4930444P10Rik
ENSMUST00000151004.1	4930444P10Rik
ENSMUST00000058437.13	Rpl7
ENSMUST00000149566.1	Rpl7
ENSMUST00000027053.7	Rdh10
ENSMUST00000162751.7	Stau2
ENSMUST00000054668.12	Stau2
ENSMUST00000162627.7	Stau2
ENSMUST00000027052.12	Stau2
ENSMUST00000162435.7	Stau2
ENSMUST00000159558.7	Stau2
ENSMUST00000128957.8	Stau2
ENSMUST00000131257.8	Stau2
ENSMUST00000162007.7	Stau2
ENSMUST00000127420.7	Stau2
ENSMUST00000149320.8	Stau2
ENSMUST00000151888.7	Stau2
ENSMUST00000153966.8	Stau2
ENSMUST00000115359.9	Stau2
ENSMUST00000145092.7	Stau2
ENSMUST00000144138.3	Stau2
ENSMUST00000182554.8	Ube2w
ENSMUST00000117146.8	Ube2w
ENSMUST00000133639.1	Ube2w
ENSMUST00000188641.6	Eloc
ENSMUST00000115352.9	Eloc
ENSMUST00000186948.6	Eloc
ENSMUST00000187910.6	Eloc
ENSMUST00000185771.6	Eloc
ENSMUST00000185393.6	Eloc
ENSMUST00000186701.1	Eloc
ENSMUST00000177501.1	Tmem70
ENSMUST00000065373.5	Tmem70
ENSMUST00000026881.10	Ly96
ENSMUST00000190366.1	Ly96
ENSMUST00000186024.1	Jph1
ENSMUST00000038382.4	Jph1
ENSMUST00000026879.7	Gdap1
ENSMUST00000189736.1	Gdap1
ENSMUST00000088476.3	Pi15
ENSMUST00000159958.7	Crispld1
ENSMUST00000160305.7	Crispld1
ENSMUST00000095075.4	Crispld1
ENSMUST00000026876.12	Crisp4
ENSMUST00000115340.7	Crisp4
ENSMUST00000115344.1	Crisp4
ENSMUST00000097818.1	Defb18
ENSMUST00000088463.1	Defb41
ENSMUST00000097817.3	Defb41
ENSMUST00000037294.7	Tfap2d
ENSMUST00000027059.10	Tfap2b
ENSMUST00000187754.6	Tfap2b
ENSMUST00000064976.5	Tfap2b
ENSMUST00000088448.11	Pkhd1
ENSMUST00000027061.4	Il17a
ENSMUST00000039046.9	Il17f
ENSMUST00000189301.1	Il17f
ENSMUST00000053266.10	Mcm3
ENSMUST00000189400.6	Paqr8
ENSMUST00000068880.13	Paqr8
ENSMUST00000167119.7	Paqr8
ENSMUST00000187651.1	Paqr8
ENSMUST00000038447.5	Efhc1
ENSMUST00000037998.5	Tram2
ENSMUST00000027065.11	Tmem14a
ENSMUST00000027064.7	Tmem14a
ENSMUST00000027067.14	Gsta3
ENSMUST00000121676.7	Gsta3
ENSMUST00000124990.2	Gsta3
ENSMUST00000088407.3	Khdc1a
ENSMUST00000070223.5	Khdc1c
ENSMUST00000147615.1	Khdc1b
ENSMUST00000029667.12	Kcnq5
ENSMUST00000115300.7	Kcnq5
ENSMUST00000173058.7	Kcnq5
ENSMUST00000174183.7	Kcnq5
ENSMUST00000173404.1	Kcnq5
ENSMUST00000081544.12	Rims1
ENSMUST00000115273.8	Rims1
ENSMUST00000097811.9	Rims1
ENSMUST00000097810.9	Rims1
ENSMUST00000097809.9	Rims1
ENSMUST00000164877.7	Rims1
ENSMUST00000185942.1	Rims1
ENSMUST00000097808.6	Rims1
ENSMUST00000239255.1	Rims1
ENSMUST00000218140.1	Rims1
ENSMUST00000073179.5	Ppp1r14bl
ENSMUST00000027343.5	Ogfrl1
ENSMUST00000188677.1	Ogfrl1
ENSMUST00000144602.1	B3gat2
ENSMUST00000063663.5	B3gat2
ENSMUST00000140583.1	B3gat2
ENSMUST00000027339.13	Smap1
ENSMUST00000129254.7	Smap1
ENSMUST00000027338.3	Sdhaf4
ENSMUST00000187619.6	Fam135a
ENSMUST00000188712.6	Fam135a
ENSMUST00000187752.6	Fam135a
ENSMUST00000187369.6	Fam135a
ENSMUST00000186331.1	Fam135a
ENSMUST00000027337.14	Fam135a
ENSMUST00000185807.1	Fam135a
ENSMUST00000186999.6	Fam135a
ENSMUST00000054588.14	Col9a1
ENSMUST00000088349.2	Col9a1
ENSMUST00000115244.8	Col19a1
ENSMUST00000051344.5	Col19a1
ENSMUST00000191471.6	Lmbrd1
ENSMUST00000186096.6	Lmbrd1
ENSMUST00000186190.1	Lmbrd1
ENSMUST00000095062.9	Lmbrd1
ENSMUST00000190195.1	Lmbrd1
ENSMUST00000126626.7	Adgrb3
ENSMUST00000146592.7	Adgrb3
ENSMUST00000135518.7	Adgrb3
ENSMUST00000151309.7	Adgrb3
ENSMUST00000041838.6	Adgrb3
ENSMUST00000097801.3	4931408C20Rik
ENSMUST00000059937.4	Gm597
ENSMUST00000186733.6	Phf3
ENSMUST00000088310.9	Phf3
ENSMUST00000191329.1	Phf3
ENSMUST00000191064.6	Phf3
ENSMUST00000188780.1	Phf3
