Gene stable ID,Gene name
YBR024W,SCO2
YDL245C,HXT15
YBR232C,
YDR320W-B,
YBR021W,FUR4
YGR014W,MSB2
tT(AGU)O2,
YKL119C,VPH2
YPR031W,NTO1
YKL066W,
YJL076W,NET1
YPL174C,NIP100
YIL003W,CFD1
YML066C,SMA2
YMR129W,POM152
YBR140C,IRA1
YGR242W,
YKR047W,
YKL029C,MAE1
YLR154C-G,
YPL028W,ERG10
YDL235C,YPD1
tR(ACG)E,
YER091C,MET6
YMR121C,RPL15B
YDR356W,SPC110
YDR337W,MRPS28
YKL008C,LAC1
YER055C,HIS1
YFR004W,RPN11
YDR108W,TRS85
YDL200C,MGT1
YJR134C,SGM1
Q0158,21S_RRNA
YMR135C,GID8
YGR012W,MCY1
YNL244C,SUI1
YCR024C-A,PMP1
YOR027W,STI1
YBL101C,ECM21
YLL040C,VPS13
YDR181C,SAS4
YML116W-A,YML116W-A
tG(UCC)O,SUF1
YPR096C,
YJL210W,PEX2
YLR216C,CPR6
YGL118C,
YMR021C,MAC1
YNL079C,TPM1
YBL058W,SHP1
YJR127C,RSF2
YLR088W,GAA1
YKL128C,PMU1
YLR100W,ERG27
YKL106C-A,
YBR080C,SEC18
YOR292C,
YNL219C,ALG9
YPR179C,HDA3
YOL062C,APM4
YDR540C,IRC4
YER087W,AIM10
YOL140W,ARG8
YFL009W,CDC4
YLL004W,ORC3
YKL057C,NUP120
YPL130W,SPO19
YDL046W,NPC2
YPL072W,UBP16
tY(GUA)F1,SUP11
YPR150W,
YER180C,ISC10
YGL157W,ARI1
YDR252W,BTT1
YLR037C,PAU23
YMR307W,GAS1
YIL116W,HIS5
YAL040C,CLN3
YGL232W,TAN1
YHR181W,SVP26
YBR051W,
YPL259C,APM1
YDR461C-A,
YJL087C,TRL1
YIR005W,IST3
YDL080C,THI3
YJL209W,CBP1
YLR286C,CTS1
YEL044W,IES6
YOR371C,GPB1
YLR071C,RGR1
YBL050W,SEC17
YOR025W,HST3
YHL001W,RPL14B
YJR042W,NUP85
YNL185C,MRPL19
YBR129C,OPY1
YKL145W,RPT1
YIL015W,BAR1
YPL018W,CTF19
YLR160C,ASP3-4
YIL047C,SYG1
YBL039C-A,
YOR061W,CKA2
YJR005C-A,LSO1
YLR352W,
YDR068W,DOS2
tS(GCU)O,
YJL128C,PBS2
YPL228W,CET1
YML036W,CGI121
YKL114C,APN1
YDR078C,SHU2
snR7-L,SNR7-L
YCR105W,ADH7
YJR083C,ACF4
YDR248C,
snR82,SNR82
YPL199C,
YNL136W,EAF7
YLL045C,RPL8B
YOR316C-A,
YNL264C,PDR17
YLR320W,MMS22
YBR028C,YPK3
YKL098W,MTC2
YBR063C,
YJL052C-A,
YPR060C,ARO7
YLL013C,PUF3
YKR067W,GPT2
YLR040C,AFB1
YMR093W,UTP15
YIL058W,
YHR136C,SPL2
YBR078W,ECM33
YCL054W,SPB1
YIL072W,HOP1
YOR231C-A,
YCR016W,
YEL020C,PXP1
YPL025C,
RDN58-2,RDN58-2
YDL136W,RPL35B
YBR211C,AME1
YJL077W-A,
YOR076C,SKI7
YDR104C,SPO71
YBR279W,PAF1
YLR067C,PET309
YHR219W,
YGR249W,MGA1
YLR456W,
YGR283C,
YDL027C,MRX9
YKR023W,
YGR028W,MSP1
YCL001W-A,
YDR052C,DBF4
YFR035C,
YJL102W,MEF2
YNL336W,COS1
YGL006W,PMC1
YDR217C,RAD9
YMR194C-A,
YKL033W,TTI1
YOR223W,DSC3
YOR032W-A,
YBR260C,RGD1
YLR359W,ADE13
YHR062C,RPP1
YDR022C,
YDR459C,PFA5
YNL184C,
YDR293C,SSD1
YPL195W,APL5
YMR173W,DDR48
YDR374W-A,WIP1
YAL007C,ERP2
YGL235W,
YGL134W,PCL10
YER001W,MNN1
YDR366C,
YHR023W,MYO1
tI(AAU)E2,
YDR430C,CYM1
YGR002C,SWC4
YNL220W,ADE12
YBR109W-A,
YHR110W,ERP5
YKL136W,
YLL067C,
YPL078C,ATP4
YBR073W,RDH54
YPL119C,DBP1
YOR135C,IRC14
YPL212C,PUS1
snR60,SNR60
tE(UUC)G3,
YGL179C,TOS3
YNL159C,ASI2
YFR048W,RMD8
YDR016C,DAD1
YKL215C,OXP1
YML035C,AMD1
YDL059C,RAD59
tK(CUU)D2,
YOR257W,CDC31
tE(UUC)G2,
YNL144C,
YIL172C,IMA3
YOR301W,RAX1
HRA1,HRA1
YHR157W,REC104
YPR152C,URN1
YDR442W,
YPL008W,CHL1
YMR086C-A,
YGL032C,AGA2
YEL077C,
YGR174W-A,
YOR148C,SPP2
YHL048W,COS8
YDR114C,
YDR194W-A,
YML062C,MFT1
YPR085C,ASA1
tR(UCU)K,
YBL095W,MRX3
YAR028W,
YGR054W,
YOR096W,RPS7A
YMR022W,UBC7
YCR027C,RHB1
YDL183C,
YJL225W-A,
YNL278W,CAF120
YLR395C,COX8
YDR446W,ECM11
YKL023W,
YPL106C,SSE1
tI(AAU)L1,
tD(GUC)O,
tR(UCU)M2,
YOR366W,
YIR021W,MRS1
YJL175W,
YLL022C,HIF1
YDR441C,APT2
YPR002C-A,
YOR299W,BUD7
YLR047C,FRE8
YMR082C,
YEL023C,
YDR411C,DFM1
YKL025C,PAN3
YLR225C,
YPR029C,APL4
YDR088C,SLU7
YFL004W,VTC2
YDR369C,XRS2
YGL090W,LIF1
YLR297W,
YDR094W,
YNL027W,CRZ1
YAL064C-A,TDA8
YJL083W,TAX4
YKL171W,NNK1
YOR353C,SOG2
YJR132W,NMD5
YLR255C,
YMR013W-A,
YNL144W-A,
YPL060W,MFM1
YNL333W,SNZ2
YCL038C,ATG22
YBL035C,POL12
YJL092W,SRS2
YGL010W,MPO1
tI(GAU)Q,
YML076C,WAR1
YDR379W,RGA2
YDL029W,ARP2
tT(UGU)H,
YDR205W,MSC2
YJL031C,BET4
YLR016C,PML1
YOL116W,MSN1
YGR019W,UGA1
YKL096C-B,
YMR137C,PSO2
YLR034C,SMF3
YOL041C,NOP12
YDL198C,GGC1
YPR076W,
tS(AGA)J,
YHR118C,ORC6
YJL097W,PHS1
YDL120W,YFH1
YLR292C,SEC72
YPR170W-B,
YKR091W,SRL3
YPR016C,TIF6
YNL103W,MET4
YAL012W,CYS3
YJL148W,RPA34
YER039C-A,
YKL162C-A,
YDR421W,ARO80
YGL051W,MST27
YER058W,PET117
YNL243W,SLA2
YGL220W,
YDL186W,
YER110C,KAP123
YLL027W,ISA1
YER135C,
YOL060C,MAM3
YCL051W,LRE1
YBL049W,MOH1
YOL102C,TPT1
YGR065C,VHT1
YMR292W,GOT1
YBL021C,HAP3
YPR026W,ATH1
YLR421C,RPN13
YHR054W-A,
tY(GUA)J2,SUP4
YPR154W,PIN3
YAL058W,CNE1
YDR119W-A,COX26
YJR055W,HIT1
YMR273C,ZDS1
YHL008C,
YNL212W,VID27
YDR429C,TIF35
YCL027W,FUS1
YCR030C,SYP1
YGR048W,UFD1
YPL249C,GYP5
YLR165C,PUS5
YDR220C,
YDR263C,DIN7
YBR187W,GDT1
YOR244W,ESA1
YBR201C-A,
YBR074W,
YDL195W,SEC31
YDR007W,TRP1
YOL014W,
YLR059C,REX2
YML130C,ERO1
YBR223C,TDP1
tP(UGG)Q,
YCR018C-A,
YER019W,ISC1
YIR016W,
YIL069C,RPS24B
YLR440C,SEC39
YIL102C,
YER042W,MXR1
YBL069W,AST1
YML116W,ATR1
YHR058C,MED6
YMR265C,
YDL169C,UGX2
YPL109C,
YPL204W,HRR25
YLR365W,
YOR047C,STD1
YLR222C,UTP13
YPR183W,DPM1
YOR396C-A,
YER077C,MRX1
YDR348C,PAL1
YKL030W,
YGR295C,COS6
YER039C,HVG1
YPL230W,USV1
YFL007W,BLM10
YLR371W,ROM2
YMR061W,RNA14
YPL159C,PET20
YMR288W,HSH155
YMR166C,MME1
YHR142W,CHS7
YJR111C,PXP2
YPL152W,RRD2
YJR113C,RSM7
YDR230W,
YDR131C,
YEL020W-A,TIM9
YLR116W,MSL5
YIR040C,
YLR013W,GAT3
YBR125C,PTC4
YPL216W,
YOR290C,SNF2
YEL012W,UBC8
YLR179C,
YDR297W,SUR2
YBR191W,RPL21A
YKL060C,FBA1
tV(AAC)G2,
YDL215C,GDH2
YJL205C,NCE101
YGL133W,ITC1
YOR355W,GDS1
YIL061C,SNP1
YGR078C,PAC10
YJR020W,
YAR068W,
YLR417W,VPS36
YDL129W,
YPR064W,
YPL082C,MOT1
YMR101C,SRT1
YBR299W,MAL32
YDL088C,ASM4
YKR034W,DAL80
tF(GAA)G,
YOR199W,
YOR005C,DNL4
YCR081W,SRB8
YHR143W-A,RPC10
YMR296C,LCB1
YMR212C,EFR3
YDR039C,ENA2
YFL027C,GYP8
YJL075C,APQ13
tF(GAA)B,
YBR219C,
YBL032W,HEK2
YFR039C,OSW7
YER184C,TOG1
YBR114W,RAD16
YBR267W,REI1
RDN5-1,RDN5-1
tH(GUG)G2,
YIL009C-A,EST3
YMR153C-A,
YPL035C,
YDR075W,PPH3
YER060W-A,FCY22
tI(AAU)I1,
YNL135C,FPR1
YPR107C,YTH1
tX(XXX)L,
YOL001W,PHO80
YNL032W,SIW14
YHR060W,VMA22
YOR187W,TUF1
YMR127C,SAS2
YDL223C,HBT1
YDR156W,RPA14
YDR167W,TAF10
YLL065W,YLL065W
YGR281W,YOR1
YIL060W,
