id	start	end	gene	dist
ENSMUST00000000001.4	142	1206	Gnai3	1064
ENSMUST00000000003.13	141	665	Pbsn	524
ENSMUST00000000010.8	86	838	Hoxb9	752
ENSMUST00000000028.13	314	2014	Cdc45	1700
ENSMUST00000000049.5	52	1089	Apoh	1037
ENSMUST00000000058.6	177	665	Cav2	488
ENSMUST00000000080.7	158	1114	Klf6	956
ENSMUST00000000090.7	50	490	Cox5a	440
ENSMUST00000000095.6	557	2692	Tbx2	2135
ENSMUST00000000096.11	1	1659	Tbx4	1658
ENSMUST00000000109.10	220	3282	Cntn1	3062
ENSMUST00000000122.6	178	1461	Ngfr	1283
ENSMUST00000000127.5	120	1187	Wnt3	1067
ENSMUST00000000128.9	46	1143	Wnt9a	1097
ENSMUST00000000129.13	56	2527	Fer	2471
ENSMUST00000000137.7	62	1246	Actr2	1184
ENSMUST00000000153.8	136	1275	Gna12	1139
ENSMUST00000000171.14	306	1253	Pih1d2	947
ENSMUST00000000175.5	24	503	Sdhd	479
ENSMUST00000000186.8	129	884	Fgf23	755
ENSMUST00000000187.6	1	627	Fgf6	626
ENSMUST00000000188.11	288	1157	Ccnd2	869
ENSMUST00000000193.5	92	538	Ccl2	446
ENSMUST00000000194.3	56	370	Ccl12	314
ENSMUST00000000199.7	357	929	Ncs1	572
ENSMUST00000000201.6	369	5588	Nalcn	5219
ENSMUST00000000206.3	50	1486	Btbd17	1436
ENSMUST00000000208.12	1228	3036	Slfn4	1808
ENSMUST00000000219.9	54	1550	Th	1496
ENSMUST00000000220.2	92	424	Ins2	332
ENSMUST00000000221.5	98	2065	Scnn1g	1967
ENSMUST00000000253.5	1016	2236	Lhx2	1220
ENSMUST00000000254.13	37	846	Clec2g	809
ENSMUST00000000260.12	214	1251	Gmpr	1037
ENSMUST00000000266.8	125	1462	Ifi202b	1337
ENSMUST00000000285.8	364	2058	Dgke	1694
ENSMUST00000000287.8	97	1455	Scpep1	1358
ENSMUST00000000291.8	410	2185	Mnt	1775
ENSMUST00000000299.13	212	2524	Itgb2	2312
ENSMUST00000000304.13	33	632	Hddc2	599
ENSMUST00000000312.11	145	2799	Cdh1	2654
ENSMUST00000000314.12	192	2933	Cdh4	2741
ENSMUST00000000317.12	241	1497	Ckmt1	1256
ENSMUST00000000326.11	43	1467	Bcl6b	1424
ENSMUST00000000329.8	82	2073	Alox12	1991
ENSMUST00000000335.11	307	1104	Comt	797
ENSMUST00000000342.2	145	438	Ccl11	293
ENSMUST00000000348.14	220	1320	Rtca	1100
ENSMUST00000000349.10	72	1520	Dbt	1448
ENSMUST00000000356.9	364	870	Dazap2	506
ENSMUST00000000365.2	114	659	Mcts1	545
ENSMUST00000000369.3	293	1186	Rem1	893
ENSMUST00000000384.7	140	3916	Trappc10	3776
ENSMUST00000000388.14	114	1475	Ccm2	1361
ENSMUST00000000394.13	208	2100	Tbrg4	1892
ENSMUST00000000395.7	231	1703	Tmprss2	1472
ENSMUST00000000412.2	198	1850	Egfl6	1652
ENSMUST00000000421.5	417	1223	Tssk3	806
ENSMUST00000000430.13	336	2015	Galnt1	1679
ENSMUST00000000445.1	204	971	Myf5	767
ENSMUST00000000449.8	87	1337	Mkrn2	1250
ENSMUST00000000450.4	46	1563	Pparg	1517
ENSMUST00000000451.13	427	2373	Raf1	1946
ENSMUST00000000466.12	143	1420	Plin2	1277
ENSMUST00000000476.14	165	3434	Pdgfra	3269
ENSMUST00000000500.7	811	1536	Pdgfb	725
ENSMUST00000000505.15	667	2826	Mcm7	2159
ENSMUST00000000514.10	293	1417	Serpinb8	1124
ENSMUST00000000542.13	273	1781	Acvrl1	1508
ENSMUST00000000543.5	115	1293	Grasp	1178
ENSMUST00000000544.11	79	1596	Acvr1b	1517
ENSMUST00000000573.8	106	2271	Ovgp1	2165
ENSMUST00000000574.2	380	1339	Adora3	959
ENSMUST00000000579.2	362	1885	Sox9	1523
ENSMUST00000000594.8	75	500	C1d	425
ENSMUST00000000608.7	50	631	Gm2a	581
ENSMUST00000000619.7	489	2732	Clcn4	2243
ENSMUST00000000631.7	157	2772	Grm6	2615
ENSMUST00000000632.6	1	1683	Zfp354c	1682
ENSMUST00000000641.14	147	2480	Sema4f	2333
ENSMUST00000000642.10	475	3228	Hk2	2753
ENSMUST00000000687.8	34	894	Haao	860
ENSMUST00000000696.6	99	323	Cd52	224
ENSMUST00000000704.5	7	681	Hoxb6	674
ENSMUST00000000707.8	145	2409	Loxl3	2264
ENSMUST00000000717.8	72	437	Tcl1b5	365
ENSMUST00000000724.14	360	2801	Kat2b	2441
ENSMUST00000000727.3	178	825	Rab5b	647
ENSMUST00000000746.11	138	1403	Dnmt3l	1265
ENSMUST00000000755.14	91	966	Sult5a1	875
ENSMUST00000000756.5	103	738	Rpl13	635
ENSMUST00000000759.8	89	679	Chmp1a	590
ENSMUST00000000767.5	53	1987	Rpa1	1934
ENSMUST00000000769.13	214	1467	Serpinf1	1253
ENSMUST00000000776.14	219	2936	Tubgcp3	2717
ENSMUST00000000793.12	121	1317	Polr3d	1196
ENSMUST00000000804.6	144	2132	Ddx3x	1988
ENSMUST00000000808.7	104	2320	Il12rb1	2216
ENSMUST00000000809.2	97	1953	Slc5a5	1856
ENSMUST00000000811.7	306	2504	Kcnn3	2198
ENSMUST00000000828.12	257	2104	Txnrd3	1847
ENSMUST00000000834.3	211	1050	Fasl	839
ENSMUST00000000889.6	64	486	Il4	422
ENSMUST00000000895.12	28	1089	Necab3	1061
ENSMUST00000000896.10	80	718	Pxmp4	638
ENSMUST00000000910.6	284	2152	Dbh	1868
ENSMUST00000000924.12	50	1528	Mmp11	1478
ENSMUST00000000925.9	223	1380	Smarcb1	1157
ENSMUST00000000939.14	136	3342	Hip1r	3206
ENSMUST00000000940.14	32	1429	Nsun5	1397
ENSMUST00000000958.8	45	1826	Top1mt	1781
ENSMUST00000000964.5	97	1107	Hoxa1	1010
ENSMUST00000000984.8	256	1788	Slc7a7	1532
ENSMUST00000000985.6	15	1316	Oxa1l	1301
ENSMUST00000001002.7	28	3582	Heatr6	3554
ENSMUST00000001008.5	79	357	Ccl3	278
ENSMUST00000001009.13	104	328	Wfdc18	224
ENSMUST00000001027.6	87	4088	Aox1	4001
ENSMUST00000001036.10	16	3639	Tyk2	3623
ENSMUST00000001040.6	82	870	Icam4	788
ENSMUST00000001042.9	95	1267	Ilf2	1172
ENSMUST00000001046.6	52	357	S100a4	305
ENSMUST00000001047.7	60	365	S100a3	305
ENSMUST00000001049.4	15	296	S100a5	281
ENSMUST00000001051.8	370	639	S100a6	269
ENSMUST00000001055.14	298	1131	Icam2	833
ENSMUST00000001059.8	121	3054	Ern1	2933
ENSMUST00000001079.14	240	3995	Sec24b	3755
ENSMUST00000001080.15	196	1809	N4bp3	1613
ENSMUST00000001081.9	355	1536	Rmnd5b	1181
ENSMUST00000001092.14	522	2366	Zfp276	1844
ENSMUST00000001109.10	280	1650	Mfsd10	1370
ENSMUST00000001112.13	575	2299	Grk4	1724
ENSMUST00000001115.15	172	1941	Grk6	1769
ENSMUST00000001116.4	115	3321	Luzp1	3206
